angDist,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,ra_ep2000,dec_ep2000,errHalfMaj,errHalfMin,errPosAng,ra,dec,source_id,ref_epoch,ra_error,dec_error,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,ra_dec_corr,duplicated_source,phot_g_n_obs,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_mag,phot_variable_flag,l,b
0.119974,J1012+5307,10:12:33.43776,1,53:07:02.2801,1,2.66,3,25.5,4,55291.0,153.1393295862,53.1172668707,0.001,0.000,0,153.1393295862,53.1172668707,851610857095609984,2015.0,0.395,0.614,,,,,,,0.058,0,148,2.43759e+02,1.93173e+00,19.557,NOT_AVAILABLE,160.3471938161,50.8578532615
0.974099,J1744-1134,17:44:29.408577,3,11:34:54.7022,2,18.8,1,9.29,6,55292.0,266.1227867895,11.5819745430,0.023,0.017,0,266.1227867895,11.5819745430,4492971816696782080,2015.0,17.201,22.862,,,,,,,0.999,0,52,3.89350e+02,4.87882e+00,19.049,NOT_AVAILABLE,35.9854643354,20.0367333056
4.838918,J1853+1303,18:53:57.318327,4,13:03:44.05670,7,1.65,4,2.89,6,56553.0,283.4875675826,13.0627885512,0.002,0.002,90,283.4875675826,13.0627885512,4506162043516865280,2015.0,2.406,1.764,,,,,,,0.910,0,66,2.48956e+02,4.89186e+00,19.534,NOT_AVAILABLE,44.8744641696,5.3682886772
3.682673,B1855+09,18:57:36.390442,3,09:43:17.20167,8,2.66,1,5.41,2,55367.0,284.4023879657,9.7207494491,0.001,0.001,90,284.4023879657,9.7207494491,4310888159960965632,2015.0,1.346,0.996,,,,,,,0.298,0,103,1.85975e+02,1.67508e+00,19.851,NOT_AVAILABLE,42.2900134629,3.0594332421
2.277743,J1903+0327,19:03:05.79256,2,03:27:19.1851,9,3.0,2,6.0,5,56258.0,285.7739288376,3.4559272700,0.002,0.001,0,285.7739288376,3.4559272700,4269206803721214336,2015.0,1.446,1.756,,,,,,,-0.925,0,88,2.07827e+03,4.13248e+00,17.231,NOT_AVAILABLE,37.3367678618,-1.0131527971
2.904775,J1903+0327,19:03:05.79256,2,03:27:19.1851,9,3.0,2,6.0,5,56258.0,285.7748539872,3.4556992601,0.009,0.005,0,285.7748539872,3.4556992601,4269206808044419456,2015.0,4.661,8.898,,,,,,,-0.940,0,69,4.52662e+02,3.05140e+00,18.885,NOT_AVAILABLE,37.3369881069,-1.0140781552
1.055505,J1910+1256,19:10:09.701512,6,12:56:25.4648,1,0.28,5,7.29,7,56131.0,287.5407217997,12.9403731117,0.003,0.002,90,287.5407217997,12.9403731117,4314046781982561920,2015.0,2.674,2.197,,,,,,,0.453,0,61,1.28804e+02,2.90256e+00,20.250,NOT_AVAILABLE,46.5639589496,1.7949315669
3.036515,J1910+1256,19:10:09.701512,6,12:56:25.4648,1,0.28,5,7.29,7,56131.0,287.5410694703,12.9409676443,0.002,0.002,0,287.5410694703,12.9409676443,4314046781982568832,2015.0,1.775,1.785,,,,,,,0.671,0,97,2.43603e+02,2.33535e+00,19.558,NOT_AVAILABLE,46.5646430760,1.7949048787
3.905552,J1910+1256,19:10:09.701512,6,12:56:25.4648,1,0.28,5,7.29,7,56131.0,287.5404106473,12.9393220798,0.001,0.001,90,287.5404106473,12.9393220798,4314046781982550656,2015.0,0.973,0.952,,,,,,,0.862,0,140,1.96187e+02,1.90569e+00,19.793,NOT_AVAILABLE,46.5628859130,1.7947162733
3.374726,J1918-0642,19:18:48.032707,3,06:42:34.8948,2,7.15,2,5.97,5,55330.0,289.7001826534,6.7106292918,0.002,0.001,90,289.7001826534,6.7106292918,4294149160592095488,2015.0,1.530,1.393,,,,,,,0.918,0,76,4.06681e+02,3.64799e+00,19.002,NOT_AVAILABLE,42.0316439347,-2.9804762173
2.065513,B1937+21,19:39:38.561253,2,21:34:59.12518,3,0.073,7,0.39,1,55321.0,294.9109784198,21.5835882694,0.001,0.000,0,294.9109784198,21.5835882694,1826171887549517696,2015.0,0.450,0.513,,,,,,,0.564,0,89,5.89835e+02,2.82019e+00,18.598,NOT_AVAILABLE,57.5094601547,-0.2896023680
2.469269,J1944+0907,19:44:09.330945,4,09:07:23.0118,1,14.06,4,22.73,9,56570.0,296.0390771009,9.1237162438,0.001,0.001,90,296.0390771009,9.1237162438,4301785646777209472,2015.0,1.091,0.829,,,,,,,0.784,0,154,1.83079e+02,1.78124e+00,19.868,NOT_AVAILABLE,47.1608498465,-7.3569129555
0.154594,B1953+29,19:55:27.875424,9,29:08:43.4415,2,1.1,1,4.2,2,56568.0,298.8661021667,29.1453839997,0.000,0.000,0,298.8661021667,29.1453839997,2028584968839606784,2015.0,0.458,0.479,,,,,,,0.502,0,112,6.51929e+02,2.06657e+00,18.489,NOT_AVAILABLE,65.8392364771,0.4432589324
4.928324,B1953+29,19:55:27.875424,9,29:08:43.4415,2,1.1,1,4.2,2,56568.0,298.8658273357,29.1440603189,0.001,0.001,90,298.8658273357,29.1440603189,2028584968841270272,2015.0,0.929,0.897,,,,,,,-0.470,0,105,4.15542e+02,1.75062e+00,18.978,NOT_AVAILABLE,65.8379797311,0.4427788995
3.480447,J2017+0603,20:17:22.705247,5,06:03:05.5689,2,2.22,7,0.1,1,56682.0,304.3437891264,6.0520723854,0.003,0.001,90,304.3437891264,6.0520723854,4249373435016412032,2015.0,2.793,1.061,,,,,,,0.952,0,70,5.98934e+02,3.07923e+00,18.581,NOT_AVAILABLE,48.6207926972,-16.0253613774
2.947122,J2033+1734,20:33:27.51189,2,17:34:58.4747,3,5.9,4,9.9,4,56945.0,308.3650315341,17.5836347280,0.003,0.001,90,308.3650315341,17.5836347280,1812045052916073600,2015.0,3.076,1.326,,,,,,,0.983,0,58,1.23950e+03,3.81394e+00,17.792,NOT_AVAILABLE,60.8574402226,-13.1540743238
2.484155,J2043+1711,20:43:20.881730,1,17:11:28.91265,3,5.72,1,10.84,2,56573.0,310.8369425921,17.1920519016,0.004,0.001,90,310.8369425921,17.1920519016,1811439565605590912,2015.0,3.571,1.496,,,,,,,0.995,0,71,2.20624e+03,4.42915e+00,17.166,NOT_AVAILABLE,61.9193580886,-15.3124412369
